City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,ribeira brava,32.65,-17.0667,20.35,61,100,3.48,PT,1707074184
189,bukittinggi,-0.3091,100.3706,18.63,97,69,0.41,ID,1707074184
190,kavieng,-2.5744,150.7967,28.47,78,96,3.45,PG,1707074185
191,vadso,70.0744,29.7487,-3.91,74,100,7.2,NO,1707074185
192,praia da vitoria,38.7333,-27.0667,18.2,94,40,5.65,PT,1707074185
193,enewetak,11.3474,162.3373,26.43,75,100,8.74,MH,1707074185
194,amga,60.8953,131.9608,-39.81,100,83,0.54,RU,1707074185
195,kerikeri,-35.2268,173.9474,12.17,91,3,1.63,NZ,1707073909
196,lamar,33.6668,-95.5836,14.24,77,100,3.6,US,1707074185
197,luanda,-8.8368,13.2343,26.99,77,85,2.42,AO,1707074186
198,saipan,15.1355,145.701,26.39,69,40,8.75,MP,1707074186
199,kodinsk,58.6881,99.1844,-14.2,97,100,1.93,RU,1707074186
200,igarka,67.4667,86.5833,-14.97,96,100,3.91,RU,1707074186
201,anadyr,64.75,177.4833,-12.72,66,100,3.0,RU,1707074186
202,akureyri,65.6835,-18.0878,-12.04,85,20,2.06,IS,1707074186
203,kidal,18.4411,1.4078,20.09,9,0,5.31,ML,1707074186
204,mahdia,35.5047,11.0622,13.97,60,3,2.62,TN,1707074187
205,soio,-6.1349,12.3689,27.17,79,61,3.58,AO,1707074187
206,twon-brass,4.3151,6.2418,28.3,76,100,4.88,NG,1707074187
207,vilyuchinsk,52.9306,158.4028,-12.82,77,97,4.11,RU,1707074187
208,arkhangel'sk,64.5401,40.5433,-7.94,93,100,6.0,RU,1707074188
209,coahuayana de hidalgo,18.7,-103.6583,29.31,37,0,2.8,MX,1707074188
210,acarau,-2.8856,-40.12,30.48,65,40,9.58,BR,1707074184
211,aegina,37.7467,23.4275,14.55,66,0,4.7,GR,1707074188
212,port alfred,-33.5906,26.891,24.43,76,100,3.79,ZA,1707074188
213,planaltina,-15.4528,-47.6142,21.93,79,97,1.2,BR,1707074188
214,new norfolk,-42.7826,147.0587,13.17,97,45,0.74,AU,1707074189
215,kismayo,-0.3582,42.5454,27.27,83,51,6.64,SO,1707074189
216,takanabe,32.1333,131.5,10.94,98,100,4.21,JP,1707074189
217,alaghsas,17.0187,8.0168,19.29,13,1,9.78,NE,1707073649
218,wailua homesteads,22.0669,-159.378,22.44,69,40,10.8,US,1707074189
219,sidney,-33.8679,151.2073,25.95,86,75,1.54,AU,1707073906
220,cape canaveral,28.4058,-80.6048,22.22,84,100,6.17,US,1707074189
221,lihue,21.9789,-159.3672,22.77,67,40,10.8,US,1707073655
222,katsuura,35.1333,140.3,7.1,80,100,4.48,JP,1707074190
223,pocatello,42.8713,-112.4455,3.95,61,40,8.23,US,1707074190
224,westhill,57.1526,-2.2797,7.14,80,100,2.06,GB,1707074190
225,iskateley,67.6803,53.1512,-19.43,91,85,3.13,RU,1707074190
226,north bend,43.4065,-124.2243,10.65,66,0,4.12,US,1707074190
227,tutoia,-2.7619,-42.2744,29.51,73,14,6.29,BR,1707074191
228,kawambwa,-9.7915,29.0791,18.41,96,95,0.82,ZM,1707074191
229,sungai raya,0.7,108.9,25.7,89,100,2.09,ID,1707074191
230,raduzhnyy,62.0961,77.475,-18.32,97,100,3.27,RU,1707074191
